trip_distance,trip_duration,passenger_count,pickup_hour,is_weekend,traffic_condition,weather_condition,fare_amount
9.99,15.58,1.0,7,0,Low,Cloudy,27.5
11.44,17.25,1.0,14,0,Low,Foggy,32.37
6.59,14.45,1.0,12,0,High,Rainy,34.82
11.79,20.81,1.0,12,0,Low,Clear,29.42
5.45,9.72,1.0,15,0,Low,Clear,16.74
5.92,11.23,1.0,21,1,Low,Clear,16.88
4.46,7.52,1.0,19,0,Medium,Clear,17.95
0.5,1.0,2.0,12,0,High,Clear,5.43
0.91,3.41,1.0,19,0,Low,Clear,8.4
0.5,1.65,1.0,1,1,Medium,Clear,7.58
8.09,12.5,1.0,2,0,Low,Rainy,26.05
3.02,4.53,1.0,14,1,Medium,Rainy,13.78
5.68,7.82,1.0,22,1,Low,Clear,15.59
19.05,27.38,1.0,18,0,Low,Clear,49.03
2.29,4.38,2.0,12,0,Medium,Clear,9.65
4.23,7.56,2.0,4,1,High,Rainy,27.18
11.27,27.73,5.0,21,0,High,Cloudy,53.01
2.08,7.97,1.0,5,0,Medium,Snowy,18.47
0.64,1.0,1.0,13,1,Low,Foggy,4.13
2.74,1.95,1.0,3,1,Medium,Foggy,12.87
1.41,2.44,1.0,21,1,Medium,Clear,7.01
8.03,18.26,1.0,6,0,Medium,Clear,29.3
16.41,32.4,2.0,3,0,Medium,Cloudy,58.53
13.02,26.65,4.0,1,0,High,Clear,58.92
1.65,1.0,5.0,6,0,Medium,Clear,8.37
17.85,34.28,1.0,2,0,Medium,Foggy,64.86
6.2,8.39,1.0,14,1,Low,Cloudy,17.27
13.18,27.74,3.0,0,1,Medium,Rainy,50.87
18.11,25.29,1.0,1,1,Low,Cloudy,44.62
3.06,7.66,1.0,9,0,Medium,Cloudy,14.53
0.93,1.0,2.0,15,0,Medium,Rainy,7.82
2.07,5.34,1.0,14,1,High,Snowy,14.67
4.46,8.71,1.0,23,0,High,Snowy,30.84
15.77,25.8,1.0,13,0,Low,Cloudy,39.22
0.5,1.44,1.0,21,0,Medium,Clear,5.92
5.72,14.54,3.0,13,0,Medium,Clear,21.29
4.32,8.6,2.0,5,1,High,Clear,23.61
2.01,3.96,2.0,13,1,Medium,Clear,10.49
1.02,3.22,5.0,16,0,Low,Clear,6.41
3.3,4.29,2.0,17,0,Medium,Clear,15.5
3.12,8.58,2.0,18,0,High,Cloudy,24.45
5.85,12.83,2.0,16,0,Medium,Clear,22.43
9.71,24.86,1.0,15,1,High,Clear,50.72
3.62,3.69,1.0,7,1,Low,Clear,13.43
2.32,2.03,3.0,11,0,Low,Clear,8.69
5.5,7.9,1.0,8,1,Low,Snowy,20.16
2.86,8.94,6.0,13,0,High,Cloudy,19.27
2.68,6.08,1.0,19,1,Medium,Clear,14.88
0.5,1.51,1.0,0,0,Very High,Clear,9.43
7.52,12.18,1.0,9,1,Low,Foggy,24.62
5.59,11.52,1.0,16,0,Medium,Cloudy,19.33
0.5,1.68,1.0,16,0,Medium,Clear,6.09
2.61,4.92,1.0,16,0,High,Foggy,16.82
19.11,10.58,2.0,3,0,Medium,Rainy,71.46
2.19,3.66,1.0,16,0,Medium,Rainy,12.61
1.25,1.0,2.0,17,0,Low,Foggy,6.75
5.38,13.75,3.0,19,1,High,Rainy,32.71
2.22,4.46,1.0,1,0,Low,Cloudy,10.0
8.92,13.1,2.0,7,0,Medium,Rainy,34.67
11.47,20.24,1.0,12,1,Medium,Clear,36.69
2.17,3.29,4.0,22,0,Low,Clear,11.13
10.42,12.76,4.0,21,0,Low,Clear,24.72
3.67,8.6,1.0,19,1,High,Clear,23.87
8.0,12.94,1.0,21,0,Low,Clear,22.02
8.03,14.86,1.0,14,0,Low,Rainy,25.06
6.14,12.85,1.0,19,0,Low,Clear,23.11
0.76,1.0,1.0,22,1,Very High,Clear,12.69
14.43,21.41,2.0,8,0,Low,Rainy,39.37
3.09,6.98,1.0,2,1,High,Cloudy,19.6
1.65,10.58,1.0,2,1,High,Clear,12.29
0.5,1.13,5.0,1,0,Medium,Clear,8.09
7.15,13.25,2.0,0,1,Medium,Clear,28.01
9.05,22.27,1.0,13,0,High,Rainy,45.42
0.5,3.88,2.0,16,0,High,Clear,5.99
5.74,13.61,1.0,12,0,High,Clear,25.61
2.05,3.79,4.0,18,1,High,Clear,13.66
8.29,10.58,1.0,22,0,Medium,Foggy,32.74
1.53,7.64,1.0,14,0,High,Rainy,14.37
9.39,15.9,2.0,13,0,Low,Cloudy,26.78
3.91,8.13,1.0,1,0,Medium,Foggy,18.19
1.18,4.99,1.0,16,0,Low,Cloudy,8.55
3.34,4.69,2.0,17,0,Low,Clear,13.38
0.96,1.0,1.0,5,0,Low,Clear,6.98
16.79,36.58,2.0,7,0,High,Rainy,84.85
2.39,5.02,1.0,1,1,Medium,Clear,12.46
8.63,22.75,1.0,0,1,High,Clear,42.83
13.6,17.05,2.0,15,0,Low,Clear,33.48
6.48,7.92,2.0,6,0,Low,Rainy,19.17
6.03,10.77,1.0,21,1,Low,Clear,16.92
2.22,3.16,2.0,23,0,Medium,Cloudy,11.89
0.78,2.29,1.0,10,0,Medium,Foggy,7.12
18.45,36.37,1.0,12,0,Medium,Rainy,69.28
8.02,13.74,1.0,23,0,Medium,Clear,27.74
3.31,1.0,6.0,1,0,Low,Cloudy,10.99
3.44,5.95,1.0,13,1,Low,Rainy,13.09
10.36,12.4,3.0,23,0,Low,Clear,25.1
17.45,32.63,6.0,8,1,Medium,Foggy,64.3
12.11,17.57,1.0,6,1,Low,Clear,31.11
8.22,16.79,4.0,17,1,Medium,Cloudy,31.4
0.7,1.0,5.0,23,1,Medium,Clear,7.83
1.41,1.71,1.0,8,0,Low,Cloudy,7.52
18.31,35.23,1.0,22,1,Medium,Cloudy,63.75
7.46,17.85,1.0,3,1,High,Cloudy,38.95
0.5,1.0,2.0,8,0,Medium,Clear,8.43
0.86,1.04,2.0,3,0,High,Cloudy,9.68
8.71,16.15,1.0,11,0,Low,Clear,22.5
0.5,2.99,3.0,3,1,High,Clear,12.31
1.4,2.66,1.0,23,0,Very High,Cloudy,14.48
6.37,14.64,3.0,19,0,Medium,Cloudy,27.48
9.42,15.64,1.0,13,0,Low,Clear,25.22
8.44,16.8,2.0,23,0,Medium,Cloudy,32.7
2.03,10.58,1.0,23,0,Medium,Cloudy,11.03
9.96,12.65,1.0,6,0,Low,Clear,25.38
2.17,8.06,2.0,12,1,High,Cloudy,16.92
3.15,6.63,1.0,21,0,Low,Foggy,8.92
10.98,16.96,1.0,7,0,Low,Cloudy,31.14
8.39,19.99,4.0,22,0,High,Rainy,43.96
15.14,35.02,1.0,4,0,High,Clear,68.63
8.57,11.72,3.0,11,0,Low,Rainy,26.04
6.72,16.69,1.0,12,0,High,Cloudy,32.48
0.79,1.0,1.0,19,0,Very High,Cloudy,12.35
3.67,5.81,1.0,13,0,Low,Foggy,10.97
2.47,10.58,6.0,17,0,Medium,Clear,11.72
2.24,5.98,1.0,23,0,High,Clear,15.37
4.0,6.81,6.0,3,0,Low,Rainy,16.39
17.81,28.1,1.0,20,0,Low,Rainy,48.03
7.98,14.67,2.0,17,1,High,Clear,35.13
5.59,13.15,1.0,14,0,High,Cloudy,27.5
6.88,20.35,1.0,20,0,Very High,Clear,46.31
5.43,9.12,1.0,5,0,Medium,Clear,19.81
1.74,7.26,3.0,15,0,Very High,Clear,15.2
10.25,24.33,3.0,19,1,High,Cloudy,49.54
2.64,6.03,1.0,23,1,Very High,Cloudy,23.7
0.5,1.0,1.0,7,1,Low,Clear,5.29
8.3,21.1,4.0,20,1,High,Cloudy,42.31
1.56,2.17,1.0,15,1,Low,Foggy,5.57
3.7,6.51,4.0,16,0,Low,Foggy,11.89
0.5,1.0,1.0,8,0,Very High,Cloudy,11.47
4.47,12.75,1.0,19,1,Very High,Rainy,38.32
15.34,27.27,2.0,11,1,Medium,Cloudy,51.04
2.79,3.63,1.0,18,0,Low,Clear,10.33
3.89,6.49,1.0,15,1,Medium,Clear,15.52
15.24,30.02,3.0,21,0,Medium,Clear,50.13
3.05,1.25,2.0,23,0,Medium,Clear,13.53
1.49,1.25,1.0,16,1,Medium,Rainy,8.24
6.51,11.36,2.0,19,0,Low,Foggy,22.66
9.53,11.87,2.0,0,0,Low,Clear,25.1
6.75,14.33,1.0,1,0,High,Snowy,40.53
0.82,2.12,1.0,7,0,Low,Cloudy,7.54
7.64,13.82,3.0,21,0,Medium,Foggy,30.07
1.21,3.78,2.0,18,1,High,Rainy,15.53
5.84,11.7,1.0,8,0,Medium,Rainy,25.82
16.79,22.66,2.0,8,0,Low,Clear,40.24
10.8,20.44,3.0,12,0,Medium,Clear,34.73
9.55,24.62,1.0,5,0,Very High,Clear,56.24
9.7,29.99,1.0,14,1,Very High,Clear,58.18
3.56,7.8,2.0,18,0,Low,Snowy,16.38
2.78,5.89,3.0,20,1,High,Clear,18.87
13.26,22.02,1.0,14,0,Low,Rainy,36.72
13.29,18.42,2.0,17,0,Low,Rainy,41.12
16.14,29.98,2.0,6,0,Medium,Clear,54.17
19.56,28.17,2.0,10,0,Low,Cloudy,50.12
5.73,13.27,2.0,7,0,High,Clear,31.68
5.57,16.01,2.0,5,0,Very High,Clear,35.43
12.81,19.21,1.0,7,0,Low,Snowy,41.98
8.4,12.42,1.0,1,1,Low,Clear,24.36
9.68,18.4,2.0,18,1,Medium,Clear,36.62
12.71,26.34,1.0,15,0,Medium,Rainy,49.45
3.3,11.51,2.0,9,0,High,Cloudy,23.58
3.77,6.37,1.0,11,1,Medium,Rainy,17.55
0.79,1.33,2.0,16,0,Medium,Clear,4.74
6.91,18.72,1.0,6,0,High,Rainy,37.75
0.5,1.96,1.0,21,0,Low,Foggy,3.75
5.01,15.35,1.0,7,0,Very High,Clear,35.71
6.26,11.88,4.0,6,0,Low,Cloudy,15.26
2.7,4.73,1.0,3,0,Medium,Clear,12.1
7.15,12.56,2.0,2,1,Low,Clear,20.74
0.5,1.0,1.0,18,0,Medium,Clear,6.68
0.5,1.77,1.0,14,0,Medium,Cloudy,4.77
13.83,33.28,1.0,3,0,High,Foggy,66.45
3.57,10.59,3.0,8,0,High,Cloudy,22.96
1.09,3.46,1.0,12,1,Medium,Rainy,9.24
5.91,11.49,1.0,17,1,Medium,Clear,23.59
11.76,26.71,2.0,20,0,High,Clear,55.83
1.94,3.85,1.0,15,0,High,Snowy,15.13
7.8,11.06,1.0,0,0,Low,Foggy,22.96
0.71,1.0,1.0,3,0,High,Clear,9.41
0.5,4.91,1.0,17,0,Very High,Cloudy,12.36
6.06,13.36,2.0,7,1,Medium,Clear,23.84
6.22,12.17,1.0,19,0,Medium,Cloudy,25.83
8.12,16.85,1.0,15,0,Medium,Rainy,32.83
10.36,20.93,4.0,20,1,Medium,Rainy,44.6
5.81,12.17,3.0,19,1,Medium,Clear,24.23
3.12,11.43,4.0,20,0,Very High,Clear,26.94
12.69,22.44,2.0,20,1,Medium,Rainy,51.43
2.53,1.0,2.0,20,0,Low,Cloudy,11.3
4.62,8.42,2.0,18,0,High,Foggy,26.85
0.65,1.03,3.0,22,0,Medium,Rainy,8.7
0.5,1.0,2.0,18,0,Medium,Clear,7.61
14.46,20.38,3.0,18,1,Low,Cloudy,39.82
9.53,27.16,3.0,10,1,Very High,Clear,55.04
4.21,6.87,3.0,2,0,Medium,Clear,17.6
1.52,3.46,1.0,7,0,High,Snowy,15.91
1.36,3.76,1.0,19,1,Medium,Cloudy,10.82
2.3,3.43,1.0,18,1,High,Rainy,16.47
6.37,12.51,1.0,9,0,Medium,Cloudy,26.6
10.03,17.1,1.0,15,1,Medium,Clear,32.56
8.64,24.61,1.0,4,0,Very High,Rainy,59.23
2.63,4.77,1.0,19,0,Medium,Clear,15.12
10.71,16.43,2.0,7,1,Low,Clear,31.0
6.47,14.61,4.0,10,0,Medium,Cloudy,25.65
7.57,17.55,1.0,15,0,High,Clear,35.85
4.35,8.86,2.0,6,0,High,Rainy,25.44
2.28,6.13,1.0,14,0,Medium,Clear,10.23
3.52,10.69,1.0,23,0,Very High,Rainy,30.81
11.35,23.05,2.0,20,0,Medium,Cloudy,43.39
0.5,1.0,2.0,19,0,Medium,Clear,7.49
0.99,1.0,3.0,22,0,Medium,Clear,8.74
0.5,5.43,1.0,16,1,Medium,Clear,6.73
0.5,1.0,1.0,5,0,Medium,Clear,7.37
15.47,26.68,1.0,14,1,Medium,Rainy,53.86
9.73,29.16,1.0,7,0,Very High,Clear,61.22
5.14,5.82,1.0,6,0,Low,Cloudy,15.05
0.82,1.0,1.0,1,0,Low,Cloudy,7.23
5.41,8.36,1.0,12,0,Low,Clear,14.13
5.13,9.33,1.0,22,0,Medium,Cloudy,21.14
1.52,2.12,2.0,5,1,Medium,Rainy,9.19
4.55,10.0,1.0,4,1,Low,Clear,15.22
4.07,7.41,1.0,19,0,Medium,Cloudy,18.94
7.65,12.54,1.0,0,0,Medium,Clear,28.94
8.06,20.69,1.0,17,1,High,Clear,41.77
0.5,1.0,2.0,14,0,Very High,Clear,7.39
3.76,6.83,2.0,22,0,Medium,Clear,15.67
7.86,9.98,1.0,9,1,Low,Rainy,24.63
5.6,8.82,1.0,2,1,Low,Cloudy,20.73
15.53,36.19,3.0,4,0,High,Clear,67.48
8.6,19.94,1.0,23,0,High,Cloudy,40.79
1.42,2.43,2.0,12,0,Low,Cloudy,6.29
0.59,2.74,1.0,7,1,Medium,Clear,9.0
8.23,20.54,1.0,21,1,High,Rainy,43.57
0.5,1.0,5.0,20,0,Medium,Clear,8.78
7.05,11.87,2.0,1,1,Medium,Foggy,26.32
6.85,11.28,1.0,16,0,Medium,Cloudy,22.06
3.93,10.12,1.0,17,1,High,Foggy,25.78
8.25,20.86,1.0,12,0,High,Rainy,43.34
4.9,8.11,5.0,0,0,High,Clear,25.67
6.31,11.02,4.0,11,0,Medium,Cloudy,21.39
3.9,7.02,1.0,19,0,Medium,Cloudy,16.05
1.74,5.47,2.0,7,0,Medium,Clear,11.81
0.58,1.0,2.0,14,1,Medium,Cloudy,4.51
0.85,5.96,2.0,2,0,Very High,Clear,14.73
0.5,1.0,2.0,5,0,Very High,Clear,8.59
0.79,1.0,2.0,12,0,Medium,Cloudy,4.16
9.19,12.88,5.0,11,1,Low,Cloudy,24.54
0.59,1.0,1.0,18,0,Medium,Cloudy,8.67
3.07,8.17,4.0,17,0,Very High,Clear,24.88
14.91,26.89,1.0,23,1,Medium,Foggy,54.15
0.5,1.0,1.0,0,0,Very High,Cloudy,11.17
13.48,19.78,1.0,6,1,Low,Clear,35.74
2.65,3.79,2.0,11,1,Medium,Snowy,13.78
1.01,3.26,1.0,9,0,Medium,Foggy,8.85
9.55,17.97,3.0,11,0,Medium,Clear,30.21
7.93,22.16,2.0,10,0,Very High,Cloudy,45.91
16.8,31.36,1.0,3,0,Medium,Cloudy,59.26
10.63,18.17,2.0,18,1,Low,Clear,29.08
13.02,23.45,4.0,5,1,Medium,Clear,45.54
2.65,3.61,1.0,8,0,High,Cloudy,16.27
1.56,1.0,1.0,19,0,Medium,Clear,10.04
11.11,25.36,4.0,9,0,High,Rainy,58.78
13.15,20.69,2.0,4,0,Low,Clear,33.97
4.26,9.69,1.0,8,0,Low,Rainy,16.63
3.72,7.06,1.0,1,0,Low,Rainy,13.9
11.98,20.7,4.0,17,0,Medium,Clear,42.62
3.33,9.08,1.0,20,0,Very High,Rainy,29.85
15.64,22.84,4.0,23,1,Low,Cloudy,40.03
4.48,7.19,1.0,20,0,Medium,Clear,18.39
11.12,16.22,1.0,11,1,Medium,Rainy,40.3
11.24,30.35,1.0,9,0,High,Clear,57.54
0.87,1.27,1.0,1,1,High,Cloudy,11.77
18.63,23.73,1.0,8,1,Low,Rainy,51.34
5.63,12.54,4.0,1,0,High,Cloudy,28.78
14.01,29.57,2.0,22,0,Medium,Clear,51.54
3.09,9.61,4.0,23,1,Medium,Clear,16.88
18.07,34.0,2.0,21,1,Medium,Cloudy,59.86
3.94,9.35,1.0,13,1,High,Clear,20.09
0.5,10.58,1.0,10,1,Medium,Clear,4.23
18.86,27.99,1.0,22,0,Low,Clear,48.96
0.77,2.36,2.0,10,0,Medium,Rainy,8.28
3.08,7.45,4.0,16,0,Medium,Clear,15.16
6.82,14.1,5.0,6,0,High,Rainy,37.03
7.99,13.71,1.0,15,0,Medium,Clear,28.85
4.76,9.12,4.0,0,1,Medium,Foggy,22.41
2.78,8.34,1.0,12,0,High,Clear,17.18
3.19,8.77,2.0,0,0,High,Clear,20.09
8.93,16.64,1.0,10,0,Medium,Clear,29.41
11.17,21.51,1.0,5,0,Medium,Clear,41.77
12.55,31.33,1.0,19,1,High,Cloudy,60.71
12.47,18.72,5.0,2,0,Low,Rainy,39.53
0.77,1.0,3.0,11,1,Medium,Clear,8.27
5.46,6.98,1.0,4,1,Low,Rainy,19.31
0.5,3.24,6.0,8,0,Very High,Rainy,17.44
6.38,7.95,2.0,11,0,Low,Foggy,16.99
4.66,3.85,4.0,9,0,Low,Clear,13.36
17.49,32.19,1.0,18,0,Medium,Clear,60.58
3.46,7.89,1.0,4,0,High,Clear,19.47
1.0,3.6,2.0,4,1,Medium,Clear,7.22
1.23,1.0,1.0,8,0,High,Cloudy,9.28
11.47,27.36,1.0,19,1,High,Cloudy,55.17
7.7,16.74,1.0,16,0,Medium,Clear,27.5
0.85,1.0,1.0,9,0,High,Cloudy,11.38
0.7,1.21,1.0,20,1,Low,Clear,5.0
9.66,23.23,5.0,0,0,Very High,Clear,59.64
0.6,3.14,1.0,21,0,High,Clear,5.8
9.8,22.75,1.0,14,0,High,Cloudy,45.03
0.68,1.0,2.0,22,1,High,Rainy,9.74
0.71,2.4,2.0,16,0,Low,Foggy,5.68
3.75,10.58,1.0,12,0,Medium,Clear,12.63
3.7,7.11,1.0,0,1,Low,Clear,11.13
13.4,33.48,3.0,7,0,High,Foggy,64.89
11.2,22.21,1.0,22,0,High,Rainy,55.43
3.78,9.95,1.0,19,0,Very High,Clear,25.67
0.7,2.66,1.0,13,0,High,Rainy,7.59
12.01,26.04,2.0,21,0,High,Clear,52.05
6.54,9.08,1.0,22,0,Medium,Clear,23.14
4.42,11.73,1.0,10,0,High,Clear,24.44
18.95,34.84,1.0,5,1,Medium,Cloudy,65.52
0.94,3.92,1.0,10,1,Very High,Cloudy,9.78
5.43,8.18,1.0,12,0,Low,Cloudy,13.68
0.5,1.0,1.0,11,0,High,Cloudy,7.04
5.06,9.36,2.0,21,0,Medium,Clear,19.61
0.5,1.0,1.0,1,1,Medium,Clear,7.47
1.01,1.43,1.0,20,0,High,Cloudy,12.91
1.0,1.0,1.0,2,1,High,Rainy,11.23
8.38,20.45,1.0,22,0,High,Cloudy,42.01
10.96,18.94,2.0,3,0,Low,Cloudy,32.19
7.0,9.5,1.0,16,1,Low,Cloudy,20.46
3.76,6.39,2.0,5,1,Low,Clear,13.04
2.69,5.56,3.0,6,0,Medium,Clear,12.77
2.02,5.74,1.0,10,0,Medium,Cloudy,9.9
0.5,2.05,1.0,2,0,Medium,Cloudy,6.85
0.5,1.0,2.0,1,0,Low,Clear,4.23
6.0,10.58,1.0,8,1,High,Foggy,33.15
0.61,1.0,5.0,18,0,Medium,Rainy,10.31
6.46,7.88,4.0,11,0,Low,Clear,15.8
5.92,14.43,1.0,11,1,High,Foggy,30.21
7.94,15.74,1.0,11,0,Medium,Clear,27.44
9.52,12.66,1.0,17,1,Low,Clear,26.32
4.85,6.06,3.0,8,1,Low,Clear,15.63
7.9,13.55,1.0,16,0,Low,Rainy,27.16
7.02,9.31,1.0,20,0,Low,Clear,21.11
18.51,29.41,5.0,15,1,Low,Clear,46.53
0.5,1.0,3.0,16,0,Low,Rainy,6.48
2.64,5.7,3.0,20,0,Medium,Cloudy,12.52
17.68,27.85,2.0,7,0,Medium,Clear,56.92
4.87,10.87,1.0,10,1,Medium,Clear,18.83
7.74,20.6,1.0,23,1,High,Clear,39.39
2.6,4.26,1.0,1,1,Medium,Cloudy,13.62
1.67,3.82,1.0,7,0,Medium,Rainy,12.88
4.98,9.9,3.0,11,0,High,Rainy,26.67
3.49,10.67,1.0,20,0,Very High,Clear,27.51
7.01,18.07,1.0,0,1,Medium,Rainy,33.67
0.65,1.0,1.0,22,1,Low,Clear,3.59
9.58,16.89,2.0,20,0,Low,Clear,27.26
6.14,6.45,2.0,16,1,Low,Rainy,19.77
2.96,5.61,1.0,13,1,High,Clear,16.43
13.45,24.06,2.0,13,1,Medium,Clear,44.62
9.23,25.0,3.0,15,1,Very High,Cloudy,53.95
1.42,1.9,2.0,16,1,Low,Clear,6.53
13.83,20.24,5.0,6,0,Low,Cloudy,36.61
10.35,29.36,2.0,14,1,Very High,Rainy,67.14
7.6,9.99,5.0,19,0,Low,Rainy,25.1
4.33,6.16,1.0,20,0,Low,Cloudy,16.08
16.08,26.03,4.0,12,0,Low,Cloudy,41.16
0.5,1.0,4.0,23,0,Low,Rainy,5.34
0.5,1.0,3.0,1,0,Medium,Clear,5.04
3.78,6.8,1.0,18,0,Medium,Clear,14.76
13.31,30.96,1.0,14,0,High,Rainy,65.86
1.3,4.05,3.0,14,1,Medium,Cloudy,6.6
7.21,12.95,1.0,17,0,Medium,Clear,28.05
3.84,5.76,1.0,13,0,Medium,Rainy,15.13
14.77,33.11,2.0,11,0,High,Rainy,69.06
5.06,12.32,2.0,22,1,Very High,Foggy,35.85
4.29,10.14,3.0,5,1,Medium,Clear,19.69
2.56,3.24,2.0,8,0,Medium,Cloudy,12.67
0.5,3.34,3.0,3,0,Medium,Rainy,8.79
16.0,23.88,1.0,16,0,Low,Clear,37.91
13.41,10.58,1.0,1,1,Low,Clear,38.51
6.49,8.87,2.0,13,0,Medium,Rainy,23.88
11.72,26.98,1.0,7,1,Medium,Clear,42.54
15.16,24.93,2.0,1,0,Low,Clear,39.96
2.27,1.66,1.0,15,1,Medium,Rainy,9.89
4.79,9.34,1.0,3,0,Medium,Clear,22.1
1.11,3.28,1.0,0,0,High,Cloudy,10.38
7.45,20.6,2.0,19,0,Very High,Cloudy,50.02
2.08,2.48,5.0,13,1,Medium,Clear,8.24
8.91,26.1,2.0,7,0,Very High,Clear,56.33
7.7,16.05,4.0,2,0,High,Cloudy,37.65
3.55,7.48,2.0,4,0,Medium,Clear,16.78
0.96,1.69,2.0,5,0,Medium,Rainy,9.27
8.91,15.2,1.0,21,0,Medium,Rainy,35.79
5.88,14.66,1.0,7,1,High,Cloudy,31.21
11.84,22.42,2.0,5,0,Medium,Clear,40.68
5.87,12.53,1.0,5,1,Medium,Cloudy,25.13
15.29,31.97,3.0,3,0,Medium,Clear,53.66
6.42,13.92,1.0,6,1,High,Rainy,33.28
6.58,9.05,4.0,23,0,Low,Clear,17.33
16.74,22.42,5.0,18,0,Low,Clear,46.1
4.13,7.24,1.0,6,0,Low,Clear,13.01
1.15,1.0,1.0,2,0,Low,Snowy,5.81
0.5,1.63,2.0,7,0,Medium,Rainy,9.09
11.26,28.51,1.0,0,0,High,Clear,51.76
7.75,13.16,1.0,0,1,Medium,Snowy,34.95
9.74,13.66,3.0,13,1,Low,Clear,23.23
1.92,5.63,6.0,5,1,Medium,Rainy,15.8
1.17,4.75,3.0,9,0,Very High,Cloudy,14.72
