trip_distance,trip_duration,passenger_count,pickup_hour,is_weekend,traffic_condition,weather_condition,fare_amount,avg_speed_kmh,is_peak_hour,is_night_ride,fare_per_km,duration_per_km,distance_bucket,hour_period
9.96,12.65,1.0,6,0,Low,Clear,25.38,47.24,0,0,2.5482,1.2701,1,1
2.17,8.06,2.0,12,1,High,Cloudy,16.92,16.15,0,0,7.7972,3.7143,0,2
3.15,6.63,1.0,21,0,Low,Foggy,8.92,28.51,0,0,2.8317,2.1048,0,3
10.98,16.96,1.0,7,0,Low,Cloudy,31.14,38.84,1,0,2.8361,1.5446,1,1
8.39,19.99,4.0,22,0,High,Rainy,43.96,25.18,0,1,5.2396,2.3826,1,3
15.14,35.02,1.0,4,0,High,Clear,68.63,25.94,0,1,4.533,2.3131,2,0
8.57,11.72,3.0,11,0,Low,Rainy,26.04,43.87,0,0,3.0385,1.3676,1,1
6.72,16.69,1.0,12,0,High,Cloudy,32.48,24.16,0,0,4.8333,2.4836,1,2
0.79,1.0,1.0,19,0,Very High,Cloudy,12.35,47.4,1,0,15.6329,1.2658,0,3
3.67,5.81,1.0,13,0,Low,Foggy,10.97,37.9,0,0,2.9891,1.5831,0,2
2.47,10.58,6.0,17,0,Medium,Clear,11.72,14.01,1,0,4.7449,4.2834,0,2
2.24,5.98,1.0,23,0,High,Clear,15.37,22.47,0,1,6.8616,2.6696,0,3
4.0,6.81,6.0,3,0,Low,Rainy,16.39,35.24,0,1,4.0975,1.7025,0,0
17.81,28.1,1.0,20,0,Low,Rainy,48.03,38.03,1,0,2.6968,1.5778,2,3
7.98,14.67,2.0,17,1,High,Clear,35.13,32.64,1,0,4.4023,1.8383,1,2
5.59,13.15,1.0,14,0,High,Cloudy,27.5,25.51,0,0,4.9195,2.3524,1,2
6.88,20.35,1.0,20,0,Very High,Clear,46.31,20.29,1,0,6.7311,2.9578,1,3
5.43,9.12,1.0,5,0,Medium,Clear,19.81,35.72,0,1,3.6483,1.6796,1,0
1.74,7.26,3.0,15,0,Very High,Clear,15.2,14.38,0,0,8.7356,4.1724,0,2
10.25,24.33,3.0,19,1,High,Cloudy,49.54,25.28,1,0,4.8332,2.3737,1,3
2.64,6.03,1.0,23,1,Very High,Cloudy,23.7,26.27,0,1,8.9773,2.2841,0,3
0.5,1.0,1.0,7,1,Low,Clear,5.29,30.0,1,0,10.58,2.0,0,1
8.3,21.1,4.0,20,1,High,Cloudy,42.31,23.6,1,0,5.0976,2.5422,1,3
1.56,2.17,1.0,15,1,Low,Foggy,5.57,43.13,0,0,3.5705,1.391,0,2
3.7,6.51,4.0,16,0,Low,Foggy,11.89,34.1,0,0,3.2135,1.7595,0,2
0.5,1.0,1.0,8,0,Very High,Cloudy,11.47,30.0,1,0,22.94,2.0,0,1
4.47,12.75,1.0,19,1,Very High,Rainy,38.32,21.04,1,0,8.5727,2.8523,0,3
15.34,27.27,2.0,11,1,Medium,Cloudy,51.04,33.75,0,0,3.3272,1.7777,2,1
2.79,3.63,1.0,18,0,Low,Clear,10.33,46.12,1,0,3.7025,1.3011,0,3
3.89,6.49,1.0,15,1,Medium,Clear,15.52,35.96,0,0,3.9897,1.6684,0,2
15.24,30.02,3.0,21,0,Medium,Clear,50.13,30.46,0,0,3.2894,1.9698,2,3
3.05,1.25,2.0,23,0,Medium,Clear,13.53,146.4,0,1,4.4361,0.4098,0,3
1.49,1.25,1.0,16,1,Medium,Rainy,8.24,71.52,0,0,5.5302,0.8389,0,2
6.51,11.36,2.0,19,0,Low,Foggy,22.66,34.38,1,0,3.4808,1.745,1,3
9.53,11.87,2.0,0,0,Low,Clear,25.1,48.17,0,1,2.6338,1.2455,1,0
6.75,14.33,1.0,1,0,High,Snowy,40.53,28.26,0,1,6.0044,2.123,1,0
0.82,2.12,1.0,7,0,Low,Cloudy,7.54,23.21,1,0,9.1951,2.5854,0,1
7.64,13.82,3.0,21,0,Medium,Foggy,30.07,33.17,0,0,3.9359,1.8089,1,3
1.21,3.78,2.0,18,1,High,Rainy,15.53,19.21,1,0,12.8347,3.124,0,3
5.84,11.7,1.0,8,0,Medium,Rainy,25.82,29.95,1,0,4.4212,2.0034,1,1
16.79,22.66,2.0,8,0,Low,Clear,40.24,44.46,1,0,2.3967,1.3496,2,1
10.8,20.44,3.0,12,0,Medium,Clear,34.73,31.7,0,0,3.2157,1.8926,1,2
9.55,24.62,1.0,5,0,Very High,Clear,56.24,23.27,0,1,5.889,2.578,1,0
9.7,29.99,1.0,14,1,Very High,Clear,58.18,19.41,0,0,5.9979,3.0918,1,2
3.56,7.8,2.0,18,0,Low,Snowy,16.38,27.38,1,0,4.6011,2.191,0,3
2.78,5.89,3.0,20,1,High,Clear,18.87,28.32,1,0,6.7878,2.1187,0,3
13.26,22.02,1.0,14,0,Low,Rainy,36.72,36.13,0,0,2.7692,1.6606,1,2
13.29,18.42,2.0,17,0,Low,Rainy,41.12,43.29,1,0,3.0941,1.386,1,2
16.14,29.98,2.0,6,0,Medium,Clear,54.17,32.3,0,0,3.3563,1.8575,2,1
19.56,28.17,2.0,10,0,Low,Cloudy,50.12,41.66,0,0,2.5624,1.4402,2,1
5.73,13.27,2.0,7,0,High,Clear,31.68,25.91,1,0,5.5288,2.3159,1,1
5.57,16.01,2.0,5,0,Very High,Clear,35.43,20.87,0,1,6.3609,2.8743,1,0
12.81,19.21,1.0,7,0,Low,Snowy,41.98,40.01,1,0,3.2771,1.4996,1,1
8.4,12.42,1.0,1,1,Low,Clear,24.36,40.58,0,1,2.9,1.4786,1,0
9.68,18.4,2.0,18,1,Medium,Clear,36.62,31.57,1,0,3.7831,1.9008,1,3
12.71,26.34,1.0,15,0,Medium,Rainy,49.45,28.95,0,0,3.8906,2.0724,1,2
3.3,11.51,2.0,9,0,High,Cloudy,23.58,17.2,1,0,7.1455,3.4879,0,1
3.77,6.37,1.0,11,1,Medium,Rainy,17.55,35.51,0,0,4.6552,1.6897,0,1
0.79,1.33,2.0,16,0,Medium,Clear,4.74,35.64,0,0,6.0,1.6835,0,2
6.91,18.72,1.0,6,0,High,Rainy,37.75,22.15,0,0,5.4631,2.7091,1,1
0.5,1.96,1.0,21,0,Low,Foggy,3.75,15.31,0,0,7.5,3.92,0,3
5.01,15.35,1.0,7,0,Very High,Clear,35.71,19.58,1,0,7.1277,3.0639,1,1
6.26,11.88,4.0,6,0,Low,Cloudy,15.26,31.62,0,0,2.4377,1.8978,1,1
2.7,4.73,1.0,3,0,Medium,Clear,12.1,34.25,0,1,4.4815,1.7519,0,0
7.15,12.56,2.0,2,1,Low,Clear,20.74,34.16,0,1,2.9007,1.7566,1,0
0.5,1.0,1.0,18,0,Medium,Clear,6.68,30.0,1,0,13.36,2.0,0,3
0.5,1.77,1.0,14,0,Medium,Cloudy,4.77,16.95,0,0,9.54,3.54,0,2
13.83,33.28,1.0,3,0,High,Foggy,66.45,24.93,0,1,4.8048,2.4064,1,0
3.57,10.59,3.0,8,0,High,Cloudy,22.96,20.23,1,0,6.4314,2.9664,0,1
1.09,3.46,1.0,12,1,Medium,Rainy,9.24,18.9,0,0,8.4771,3.1743,0,2
5.91,11.49,1.0,17,1,Medium,Clear,23.59,30.86,1,0,3.9915,1.9442,1,2
11.76,26.71,2.0,20,0,High,Clear,55.83,26.42,1,0,4.7474,2.2713,1,3
1.94,3.85,1.0,15,0,High,Snowy,15.13,30.23,0,0,7.799,1.9845,0,2
7.8,11.06,1.0,0,0,Low,Foggy,22.96,42.31,0,1,2.9436,1.4179,1,0
0.71,1.0,1.0,3,0,High,Clear,9.41,42.6,0,1,13.2535,1.4085,0,0
0.5,4.91,1.0,17,0,Very High,Cloudy,12.36,6.11,1,0,24.72,9.82,0,2
6.06,13.36,2.0,7,1,Medium,Clear,23.84,27.22,1,0,3.934,2.2046,1,1
6.22,12.17,1.0,19,0,Medium,Cloudy,25.83,30.67,1,0,4.1527,1.9566,1,3
8.12,16.85,1.0,15,0,Medium,Rainy,32.83,28.91,0,0,4.0431,2.0751,1,2
10.36,20.93,4.0,20,1,Medium,Rainy,44.6,29.7,1,0,4.305,2.0203,1,3
5.81,12.17,3.0,19,1,Medium,Clear,24.23,28.64,1,0,4.1704,2.0947,1,3
3.12,11.43,4.0,20,0,Very High,Clear,26.94,16.38,1,0,8.6346,3.6635,0,3
12.69,22.44,2.0,20,1,Medium,Rainy,51.43,33.93,1,0,4.0528,1.7683,1,3
2.53,1.0,2.0,20,0,Low,Cloudy,11.3,151.8,1,0,4.4664,0.3953,0,3
4.62,8.42,2.0,18,0,High,Foggy,26.85,32.92,1,0,5.8117,1.8225,0,3
